shot_number,x_coord,y_coord,time,weapon
76,648,502,1.937757777777778,AKM
77,245,74,1.937757777777778,AKM
78,3,147,1.9789866666666667,AKM
79,3,51,1.9789866666666667,AKM
80,6,137,2.0202155555555557,AKM
81,1,60,2.0202155555555557,AKM
82,258,56,2.0202155555555557,AKM
83,265,39,2.0202155555555557,AKM
84,258,37,2.0202155555555557,AKM
85,15,32,2.0202155555555557,AKM
86,9,160,2.0614444444444446,AKM
87,15,54,2.0614444444444446,AKM
88,28,39,2.0614444444444446,AKM
89,29,13,2.0614444444444446,AKM
90,2,299,2.1026733333333336,AKM
91,9,81,2.1026733333333336,AKM
92,22,28,2.1026733333333336,AKM
93,33,8,2.1026733333333336,AKM
94,731,542,2.143902222222222,AKM
95,16,172,2.143902222222222,AKM
96,16,66,2.143902222222222,AKM
97,1264,1,2.143902222222222,AKM
98,4,69,2.185131111111111,AKM
99,21,66,2.185131111111111,AKM
100,4,32,2.185131111111111,AKM
101,3,356,2.22636,AKM
102,11,46,2.22636,AKM
103,11,23,2.22636,AKM
104,13,41,2.267588888888889,AKM
105,15,16,2.308817777777778,AKM
106,673,497,2.3500466666666666,AKM
107,672,481,2.3500466666666666,AKM
108,21,94,2.3912755555555556,AKM
109,2,23,2.3912755555555556,AKM
110,16,125,2.4325044444444446,AKM
111,19,102,2.4325044444444446,AKM
112,2,74,2.4325044444444446,AKM
113,14,73,2.4325044444444446,AKM
114,673,486,2.4737333333333336,AKM
115,6,165,2.4737333333333336,AKM
116,19,146,2.4737333333333336,AKM
117,21,124,2.4737333333333336,AKM
118,16,96,2.4737333333333336,AKM
119,3,38,2.4737333333333336,AKM
120,13,149,2.5149622222222225,AKM
121,26,132,2.5149622222222225,AKM
122,29,109,2.5149622222222225,AKM
123,1,90,2.5149622222222225,AKM
124,24,80,2.5149622222222225,AKM
125,22,43,2.5149622222222225,AKM
126,15,141,2.556191111111111,AKM
127,28,123,2.556191111111111,AKM
128,31,100,2.556191111111111,AKM
129,24,34,2.556191111111111,AKM
130,28,72,2.556191111111111,AKM
131,8,53,2.59742,AKM
132,22,56,2.59742,AKM
133,15,162,2.59742,AKM
134,1276,173,2.59742,AKM
135,24,107,2.59742,AKM
136,27,145,2.59742,AKM
137,24,118,2.638648888888889,AKM
138,415,1,2.638648888888889,AKM
139,29,53,2.638648888888889,AKM
140,32,91,2.638648888888889,AKM
141,33,142,2.638648888888889,AKM
142,36,119,2.638648888888889,AKM
143,21,159,2.638648888888889,AKM
144,499,572,2.679877777777778,AKM
145,35,149,2.679877777777778,AKM
146,40,108,2.679877777777778,AKM
147,13,102,2.679877777777778,AKM
148,34,64,2.679877777777778,AKM
149,1,250,2.721106666666667,AKM
150,4,199,2.721106666666667,AKM
151,13,191,2.721106666666667,AKM
152,34,175,2.721106666666667,AKM
153,46,155,2.721106666666667,AKM
154,39,131,2.721106666666667,AKM
155,9,129,2.721106666666667,AKM
156,10,211,2.7623355555555555,AKM
157,18,202,2.7623355555555555,AKM
158,50,166,2.7623355555555555,AKM
159,43,143,2.7623355555555555,AKM
160,17,136,2.7623355555555555,AKM
161,11,235,2.8035644444444445,AKM
162,21,214,2.8035644444444445,AKM
163,21,196,2.8035644444444445,AKM
164,55,162,2.8035644444444445,AKM
165,40,94,2.8035644444444445,AKM
166,15,220,2.8447933333333335,AKM
167,1277,181,2.8447933333333335,AKM
168,27,182,2.8447933333333335,AKM
169,15,186,2.8447933333333335,AKM
170,14,116,2.8447933333333335,AKM
171,29,116,2.8447933333333335,AKM
